ID,名称,詳細,画像のファイル名,重量(kg),体積(mL),種類,糖質,タンパク質,脂質,ビタミン,ミネラル,水分,デバフ（体のスタミナ）,デバフ（脳のスタミナ）,デバフ（肉体の修復度）,デバフ（頭痛）,デバフ（腹痛）,強化値,耐久値の初期値,weaponId
1,スマホ,"壊れている。電源ボタンを長押ししても反応しない。
海水が電子製品に掛かると普通壊れる。
",res\\image\\sumaho.png,0.2,200,貴重品,,,,,,,,,,,,,,
2,家のカギ,"ホシマンの家のカギ
",res\\image\\homekey.png,0.05,20,貴重品,,,,,,,,,,,,,,
3,赤い実,"猛毒。

",res\\image\\sotetsu_.png,0.05,50,食材,10,10,5,10,10,1,50,50,50,○,○,,,
4,毒抜きした赤い実,"赤い実をあく抜きをしたもの。
",res\\image\\sotetsu2.png,0.2,500,食材,100,100,50,10,10,-1,0,0,0,,,,,
5,ココナッツの実,"水分ミネラル糖分を得られ、果肉からは脂質を得られる。
果肉を煮ると油を取得できる。
道具がなくても岩のとがった部分に叩きつければ飲み食いできる。
",res\\image\\coconut.png,1,2000,食材,20,5,30,20,30,4,0,0,0,,,,,
6,熟したココナッツの実,"水分はなくなっているが実を食べることができる。
外皮で糸を作ることができ、糸から縄・布を作ることができるが
誰もやり方がわからない。
動画などでよく見られる茶色い球は、熟したほうのココナッツ。
",res\\image\\coconut2.png,0.7,1000,食材,10,5,50,5,10,1,0,0,0,,,,,
7,細長いどんぐり,"食べられるドングリと食べられないドングリがある。
これはそのままでも食べられるドングリ。
",res\\image\\donguri1.png,0.005,10,食材,8,8,8,2,2,0,0,0,0,,,,,
8,小さくて丸いどんぐり,"食べられるドングリと食べられないドングリがある。
これはそのままでも食べられるドングリ。
",res\\image\\donguri2.png,0.003,7,食材,5,5,5,1,1,0,0,0,0,,,,,
9,大きいどんぐり,"猛烈に苦い。食べられそうにない。
水に７日間浸すと食べられる。 
",res\\image\\donguri3.png,0.008,13,素材,10,10,10,1,1,-1,10,5,5,○,○,,,
10,あく抜きをした大きいどんぐり,"あく抜きをした大きいどんぐり。
そのままポリポリする。
",res\\image\\donguri4.png,0.5,300,食材,10,10,10,10,10,0,0,0,0,,,,,
11,ハイビスカス,"花。サバイバルでは何の役にも立たない。
",res\\image\\flower.png,0.001,300,素材,,,,,,,,,,,,,,
12,花輪,"花を集めて作った輪っか。
",res\\image\\kakan.png,0.5,2000,その他,,,,,,,,,,,,,,
13,ツクシ,"ホシマン（子供の時、ツクシは食べられるということを聞いたことがある、気がする）
",res\\image\\tsukushi.png,0.002,10,食材,10,10,10,10,10,1,0,0,0,,,,,
14,謎の草１,野草,res\\image\\unknownPlant.png,0.002,10,食材,10,10,10,10,10,1,0,0,0,,,,,
15,謎の草２,野草,res\\image\\unknownPlant.png,0.002,10,食材,10,10,10,10,10,1,0,0,0,,,,,
16,謎の草３,野草,res\\image\\unknownPlant.png,0.002,10,食材,10,10,10,10,10,1,0,0,0,,,,,
17,謎の草４,野草,res\\image\\unknownPlant.png,0.002,10,食材,10,10,10,10,10,1,0,0,0,,,,,
18,謎の草５,野草,res\\image\\unknownPlant.png,0.002,10,食材,10,10,10,10,10,1,0,0,0,,,,,
19,謎の草６,野草,res\\image\\unknownPlant.png,0.002,10,食材,10,10,10,10,10,1,0,0,0,,,,,
20,タンポポ,ホシマン（根っこが食べられる、というのを動画で見たことがある）,res\\image\\tanpopo.png,0.002,10,食材,10,10,10,10,10,1,0,0,0,,,,,
21,ニラ、もしくはスイセン,"ニラとスイセンは非常に似ている。
スイセンだった場合、ダメージを負う。
",res\\image\\nira.png,0.02,100,食材,10,10,10,10,10,1,50,50,50,○,○,,,
22,キノコ,"キノコは大体毒だし、栄養も大してない。食べてはいけない。
",res\\image\\kinoko.png,0.02,100,食材,10,10,10,10,10,1,50,50,50,○,○,,,
23,銅鉱石,"鉄を溶かすには１５００度必要だが、胴は１０００度で溶ける。
今の知識ではどうすることもできない。",res\\image\\copper.png,2,1000,素材,,,,,,,,,,,,,,
24,イカダ,"５分で壊れる。
＋１０まで強化でき、耐久力、耐荷重量が上がっていく。 
",res\\image\\raft.png,100,500000,その他,,,,,,,,,,,,,,
25,ブイ,"イカダに付けることで耐久力、耐荷重量が強化される。
",res\\image\\bui.png,1,2000,素材,,,,,,,,,,,,,,
26,モンスターの体,モンスターの体。ゼリーのような材質。どぶの匂いがする。,res\\image\\cubeBody.png,0.5,500,その他,,,,,,,,,,,,,,
27,袋,"ツタで作った袋。
編み物をしたことのある人がいなかったので雰囲気で作られた。
アイテムの出し入れかジャンプを１０回すると壊れる。
＋５まで強化できる。
",res\\image\\bag.png,0.7,1200,その他,,,,,,,,,,,,,10,
28,袋,"ツタで作った袋。
編み物をしたことのある人がいなかったので雰囲気で作られた。
アイテムの出し入れかジャンプを１０回すると壊れる。
＋５まで強化できる。
",res\\image\\bag.png,0.7,1200,その他,,,,,,,,,,,,1,50,
29,袋,"ツタで作った袋。
編み物をしたことのある人がいなかったので雰囲気で作られた。
アイテムの出し入れかジャンプを１０回すると壊れる。
＋５まで強化できる。
",res\\image\\bag.png,0.7,1200,その他,,,,,,,,,,,,2,100,
30,袋,"ツタで作った袋。
編み物をしたことのある人がいなかったので雰囲気で作られた。
アイテムの出し入れかジャンプを１０回すると壊れる。
＋５まで強化できる。
",res\\image\\bag.png,0.7,1200,その他,,,,,,,,,,,,3,150,
31,袋,"ツタで作った袋。
編み物をしたことのある人がいなかったので雰囲気で作られた。
アイテムの出し入れかジャンプを１０回すると壊れる。
＋５まで強化できる。
",res\\image\\bag.png,0.7,1200,その他,,,,,,,,,,,,4,200,
32,袋,"ツタで作った袋。
編み物をしたことのある人がいなかったので雰囲気で作られた。
アイテムの出し入れかジャンプを１０回すると壊れる。
＋５まで強化できる。
",res\\image\\bag.png,0.7,1200,その他,,,,,,,,,,,,5,250,
33,いい形の石（斧）,"斧や槍に石を使うには、いい形の石を探す必要がある。
",res\\image\\stoneForAxe.png,1,500,素材,,,,,,,,,,,,,,
34,いい形の石（槍）,"斧や槍に石を使うには、いい形の石を探す必要がある。
",res\\image\\stoneForSpear.png,0.8,400,素材,,,,,,,,,,,,,,
35,ワードブレス,"飲むと死んでも生き返れる薬が入った小瓶。
一個で一回だけ。
",res\\image\\wordbress.png,0.4,200,その他,,,,,,,,,,,,,,
36,菅笠（すげがさ）,"頭にかぶる傘。

昼に被ると体力の消耗が抑えられ、
夜に被ると体力の消耗がわずかに増加する。
",res\\image\\sugegasa.png,0.2,2000,その他,,,,,,,,,,,,,,
37,焼き魚,"焼いた魚。
最近高い。
",res\\image\\yakizakana.png,0.2,200,食材,10,10,10,10,10,0,0,0,0,,,,,
38,パパイヤ,"果物に毒が含まれていることは稀である。
",res\\image\\papaiya.png,0.2,400,食材,10,10,10,10,10,1,0,0,0,,,,,
39,マンゴー,"果物に毒が含まれていることは稀である。
",res\\image\\mango.png,0.2,400,食材,10,10,10,10,10,1,0,0,0,,,,,
