ID,名称,詳細,画像のファイル名,重量(kg),体積(mL),種類,糖質,タンパク質,脂質,ビタミン,ミネラル,水分,デバフ（体のスタミナ）,デバフ（脳のスタミナ）,デバフ（肉体の修復度）,デバフ（頭痛）,デバフ（腹痛）,強化値,耐久値の初期値
1,スマホ,"壊れている。電源ボタンを長押ししても反応しない。
海水が電子製品に掛かると普通壊れる。
",sumaho.png,0.2,200,貴重品,,,,,,,,,,,,,
2,家のカギ,"ホシマンの家のカギ
",key.png,0.05,20,貴重品,,,,,,,,,,,,,
3,赤い実,"猛毒。
<quest123>水に4日浸せば食べられる。
",sotetsu.png,0.05,50,食材,10,10,5,10,10,10,50,50,50,○,○,,
4,毒抜きした赤い実,"赤い実をあく抜きをしたもの。
",sotetsuAkunuki.png,0.2,500,食材,100,100,50,10,10,-10,0,0,0,,,,
5,ココナッツの実,"水分ミネラル糖分を得られ、果肉からは脂質を得られる。
果肉を煮ると油を取得できる。
道具がなくても岩のとがった部分に叩きつければ飲み食いできる。
",coconut.png,1,2000,食材,20,5,30,20,30,40,0,0,0,,,,
6,熟したココナッツの実,"水分はなくなっているが実を食べることができる。
外皮で糸を作ることができ、糸から縄・布を作ることができるが
誰もやり方がわからない。
動画などでよく見る茶色い球は、熟したほうのココナッツ。
",ripeCoconut.png,0.7,1000,食材,10,5,50,5,10,10,0,0,0,,,,
7,細長いどんぐり,"食べられるドングリと食べられないドングリがある。
これはそのままでも食べられるドングリ。
",matebashii.png,0.005,10,食材,8,8,8,2,2,-2,0,0,0,,,,
8,小さくて丸いどんぐり,"食べられるドングリと食べられないドングリがある。
これはそのままでも食べられるドングリ。
",tsuburajii.png,0.003,7,食材,5,5,5,1,1,-1,0,0,0,,,,
9,大きいどんぐり ,"猛烈に苦い。食べられそうにない。
<quest222>水に７日間浸すと食べられる。 
",kunugi.png,0.008,13,素材,10,10,10,1,1,-1,10,5,5,○,○,,
10,あく抜きをした大きいどんぐり,"あく抜きをした大きいどんぐり。
そのままポリポリする。
",akunukiKunugi.png,0.5,300,食材,10,10,10,10,10,10,0,0,0,,,,
11,ハイビスカス,"花。サバイバルでは何の役にも立たない。
",haibisukasu.png,0.001,300,素材,,,,,,,,,,,,,
12,花輪,"花を集めて作った輪っか。
",hanawa.png,0.5,2000,その他,,,,,,,,,,,,,
13,ツクシ,"子供の時、ツクシは食べられるということを聞いたことがある、気がする。
",tsukushi.png,0.002,10,食材,10,10,10,10,10,10,0,0,0,,,,
14,謎の草１,"薄紫の花がついている草。
<quest333>パッチテストを行えば食べられるかわかる。
",akatsumekusa.png,0.002,10,食材,10,10,10,10,10,10,0,0,0,,,,
15,謎の草２,"丸い葉っぱ。
<quest333>パッチテストを行えば食べられるかわかる。
",oobako.png,0.002,10,食材,10,10,10,10,10,10,0,0,0,,,,
16,謎の草３,"丸い葉っぱ２。
<quest333>パッチテストを行えば食べられるかわかる。
",kakidooshi.png,0.002,10,食材,10,10,10,10,10,10,0,0,0,,,,
17,謎の草４,"細い小さい葉っぱが沢山ついた草。
<quest333>パッチテストを行えば食べられるかわかる。
",karasunoendou.png,0.002,10,食材,10,10,10,10,10,10,0,0,0,,,,
18,謎の草５,"ウニみたいな見た目。
<quest333>パッチテストを行えば食べられるかわかる。
",kawarayomogi.png,0.002,10,食材,10,10,10,10,10,10,0,0,0,,,,
19,謎の草６,"長い草。動画で見たことがある気がする。
<quest333>パッチテストを行えば食べられるかわかる。
",kuzu.png,0.002,10,食材,10,10,10,10,10,10,0,0,0,,,,
20,タンポポ,"根っこが食べられる、というのを動画で見たことがある。
",tanpopo.png,0.002,10,食材,10,10,10,10,10,10,0,0,0,,,,
