ID,名称,詳細,画像のファイル名,重量(kg),体積(mL),種類,糖質,タンパク質,脂質,ビタミン,ミネラル,水分,デバフ（体のスタミナ）,デバフ（脳のスタミナ）,デバフ（肉体の修復度）,デバフ（頭痛）,デバフ（腹痛）,強化値,耐久値の初期値,weaponId,未強化時ID
sumaho,Smartphone,"Broken. Holding the power button does
nothing.
Seawater usually destroys electronics.",res\\image\\sumaho.png,0.2,200,貴重品,,,,,,,,,,,,,,,sumaho
homeKey,House Key,Key to Starman's house.,res\\image\\homekey.png,0.05,20,貴重品,,,,,,,,,,,,,,,homeKey
sotetsu,Red Fruit,Deadly poison.,res\\image\\sotetsu_.png,0.05,50,食材,10,10,5,10,10,1,50,50,50,○,○,,,,sotetsu
sotetsuDetox,Leached Red Fruit,Red fruit with toxins leached out.,res\\image\\sotetsu2.png,0.2,500,食材,100,100,50,10,10,-1,0,0,0,,,,,,sotetsuDetox
coconut,Coconut,"Provides water, minerals, and sugar; the
flesh supplies fat.
Boiling the flesh yields oil.
Without tools you can crack it by
striking
it on a sharp rock.",res\\image\\coconut.png,1,2000,食材,20,5,30,20,30,4,0,0,0,,,,,,coconut
coconutRipe,Ripe Coconut,"No water left, but the flesh is edible.
The husk can be spun into fiber, then
rope
or cloth—though no one knows how.
The brown globe often seen in videos is
a
ripe coconut.",res\\image\\coconut2.png,0.7,1000,食材,10,5,50,5,10,1,0,0,0,,,,,,coconutRipe
donguri1,Long Acorn,"Some acorns are edible, some are not.
This slender acorn can be eaten raw.",res\\image\\donguri1.png,0.005,10,食材,8,8,8,2,2,0,0,0,0,,,,,,donguri1
donguri2,Small Round Acorn,"Some acorns are edible, some are not.
This small round acorn can be eaten raw.",res\\image\\donguri2.png,0.003,7,食材,5,5,5,1,1,0,0,0,0,,,,,,donguri2
donguri3,Large Acorn,"Extremely bitter and seemingly inedible.
Soak in water for seven days to make it
edible.",res\\image\\donguri3.png,0.008,13,素材,10,10,10,1,1,-1,10,5,5,○,○,,,,donguri3
donguriDetox,Leached Large Acorn,"Large acorn after leaching.
Crunch it as is.",res\\image\\donguri4.png,0.5,300,食材,10,10,10,10,10,0,0,0,0,,,,,,donguriDetox
flower,Hibiscus,A flower. Useless in survival.,res\\image\\flower.png,0.001,300,素材,,,,,,,,,,,,,,,flower
kakan,Flower Garland,A ring woven from flowers.,res\\image\\kakan.png,0.5,2000,その他,,,,,,,,,,,,,,,kakan
tsukushi,Field Horsetail,"(Starman) He vaguely recalls hearing as
a
child that horsetail shoots are edible.",res\\image\\tsukushi.png,0.002,10,食材,10,10,10,10,10,1,0,0,0,,,,,,tsukushi
unknownPlant1,Unknown Grass 1,Wild herb.,res\\image\\unknownPlant.png,0.002,10,食材,10,10,10,10,10,1,0,0,0,,,,,,unknownPlant1
unknownPlant2,Unknown Grass 2,Wild herb.,res\\image\\unknownPlant.png,0.002,10,食材,10,10,10,10,10,1,0,0,0,,,,,,unknownPlant2
unknownPlant3,Unknown Grass 3,Wild herb.,res\\image\\unknownPlant.png,0.002,10,食材,10,10,10,10,10,1,0,0,0,,,,,,unknownPlant3
unknownPlant4,Unknown Grass 4,Wild herb.,res\\image\\unknownPlant.png,0.002,10,食材,10,10,10,10,10,1,0,0,0,,,,,,unknownPlant4
unknownPlant5,Unknown Grass 5,Wild herb.,res\\image\\unknownPlant.png,0.002,10,食材,10,10,10,10,10,1,0,0,0,,,,,,unknownPlant5
unknownPlant6,Unknown Grass 6,Wild herb.,res\\image\\unknownPlant.png,0.002,10,食材,10,10,10,10,10,1,0,0,0,,,,,,unknownPlant6
tanpopo,Dandelion,Starman (He once saw in a video that the roots are edible.) ,res\\image\\tanpopo.png,0.002,10,食材,10,10,10,10,10,1,0,0,0,,,,,,tanpopo
nira,Leek—or Maybe Daffodil,"Leeks and daffodils look very similar.
If it's a daffodil, you'll take damage. ",res\\image\\nira.png,0.02,100,食材,10,10,10,10,10,1,50,50,50,○,○,,,,nira
kinoko,Mushroom,"Most mushrooms are poisonous and not very nutritious.
You shouldn't eat them. ",res\\image\\kinoko.png,0.02,100,食材,10,10,10,10,10,1,50,50,50,○,○,,,,kinoko
copper,Copper Ore,"Iron requires 1500°C to melt, but copper melts at 1000°C.
With our current knowledge, there's nothing we can do. ",res\\image\\copper.png,2,1000,素材,,,,,,,,,,,,,,,copper
raft_deprecated,Raft,"Breaks in five minutes.
Can be upgraded up to +10, increasing durability and load capacity. ",res\\image\\raft.png,100,500000,その他,,,,,,,,,,,,,,,raft_deprecated
bui,Buoy,Attaching it to a raft increases its durability and load capacity. ,res\\image\\bui.png,1,2000,素材,,,,,,,,,,,,,,,bui
cubeBody,Monster Body,"A monster's body—jelly‑like and smelling
like sewage.",res\\image\\cubeBody.png,0.5,500,その他,,,,,,,,,,,,,,,cubeBody
bag,Bag,"Bag woven from vine.
No one had knitted before, so it was
made
by guesswork.
Breaks after ten item moves or ten
jumps.
Upgradable to +5.",res\\image\\bag.png,0.7,1200,その他,,,,,,,,,,,,,10,,bag
